Pa	Ch
g_4631	g_92
g_5105	g_92
g_3197	g_92
g_4641	g_92
g_3213	g_92
g_5706	g_92
g_4900	g_92
g_3847	g_92
g_5687	g_92
g_1721	g_92
g_2135	g_92
g_913	g_92
g_1303	g_92
g_13	g_92
g_3276	g_93
g_8690	g_93
g_4804	g_93
g_8828	g_93
g_8709	g_93
g_6689	g_93
g_1475	g_94
g_7104	g_94
g_3024	g_94
g_677	g_94
g_7968	g_94
g_9177	g_94
g_5812	g_94
g_7325	g_94
g_1968	g_94
g_1286	g_94
g_3374	g_94
g_8859	g_95
g_2612	g_95
g_7188	g_95
g_5334	g_95
g_3144	g_95
g_6030	g_96
g_64	g_96
g_8073	g_96
g_5535	g_96
g_3542	g_96
g_4690	g_96
g_8236	g_97
g_840	g_97
g_1845	g_97
g_8142	g_97
g_8920	g_97
g_1981	g_97
g_8833	g_97
g_3036	g_97
g_7747	g_97
g_2641	g_97
g_54	g_98
g_6144	g_99
g_5966	g_99
g_2449	g_99
g_2215	g_99
g_1272	g_99
g_5929	g_100
g_3797	g_100
g_9581	g_100
g_3607	g_100
g_4873	g_100
g_6012	g_100
g_9644	g_100
g_1580	g_100
g_4444	g_102
g_7164	g_102
g_5936	g_102
g_7261	g_102
g_7945	g_102
g_4699	g_103
g_2416	g_103
g_1935	g_103
g_1658	g_103
g_4173	g_104
g_7553	g_104
g_6733	g_104
g_4922	g_104
g_8703	g_104
g_5137	g_105
g_5546	g_106
g_7370	g_107
g_7681	g_107
g_3756	g_107
g_3845	g_107
g_8206	g_107
g_522	g_107
g_9482	g_107
g_9474	g_108
g_9092	g_108
g_3325	g_109
g_1667	g_109
g_7711	g_109
g_9908	g_109
g_5496	g_109
g_9571	g_109
g_3241	g_109
g_8117	g_109
g_105	g_109
g_9471	g_110
g_1229	g_110
g_6524	g_110
g_3850	g_110
g_8491	g_111
g_4494	g_111
g_9917	g_111
g_1762	g_111
g_1290	g_111
g_9754	g_111
g_2635	g_111
g_5727	g_111
g_7652	g_111
g_9773	g_112
g_8464	g_112
g_3027	g_113
g_6663	g_113
g_8356	g_113
g_7506	g_114
g_8412	g_114
g_4183	g_114
g_2071	g_114
g_3300	g_114
g_4132	g_114
g_8222	g_114
g_1279	g_115
g_7098	g_115
g_767	g_116
g_4232	g_116
g_9918	g_116
g_7660	g_116
g_1998	g_116
g_1735	g_116
g_4472	g_116
g_2728	g_116
g_6537	g_116
g_9129	g_116
g_1624	g_117
g_2096	g_117
g_8753	g_117
g_4524	g_117
g_9226	g_117
g_1644	g_117
g_198	g_118
g_8581	g_118
g_399	g_118
g_8595	g_118
g_5881	g_118
g_9211	g_118
g_6935	g_118
g_7801	g_118
g_7174	g_118
g_2706	g_118
g_1598	g_119
g_1327	g_119
g_9820	g_119
g_6349	g_120
g_2690	g_120
g_1719	g_120
g_6291	g_120
g_8667	g_120
g_1335	g_120
g_2635	g_120
g_1533	g_121
g_4870	g_121
g_2572	g_121
g_4945	g_121
g_9911	g_121
g_9300	g_122
g_5971	g_122
g_4459	g_122
g_5156	g_122
g_4678	g_122
g_8666	g_122
g_8219	g_122
g_9009	g_122
g_9136	g_122
g_9825	g_122
g_7292	g_122
g_5166	g_122
g_6563	g_123
g_9334	g_123
g_1575	g_123
g_3372	g_124
g_8703	g_124
g_804	g_124
g_6853	g_124
g_86	g_125
g_6032	g_125
g_9661	g_125
g_1000	g_125
g_3657	g_125
g_8873	g_125
g_5706	g_125
g_7847	g_125
g_4008	g_125
g_3793	g_125
g_7606	g_126
g_3428	g_126
g_1041	g_126
g_4583	g_126
g_5881	g_126
g_841	g_126
g_8495	g_126
g_508	g_126
g_2746	g_127
g_4294	g_127
g_3398	g_127
g_4292	g_127
g_2483	g_127
g_7803	g_127
g_4879	g_128
g_331	g_128
g_1906	g_128
g_579	g_128
g_2361	g_129
g_5414	g_129
g_5123	g_129
g_8820	g_129
g_4314	g_129
g_3249	g_129
g_2174	g_129
g_1221	g_130
g_8254	g_130
g_6540	g_130
g_7449	g_130
g_8523	g_131
g_4402	g_131
g_4987	g_131
g_3980	g_131
g_6366	g_131
g_1960	g_131
g_9961	g_132
g_9287	g_132
g_5618	g_133
g_2925	g_134
g_516	g_134
g_2363	g_134
g_9183	g_134
g_8470	g_134
g_410	g_134
g_9304	g_134
g_6358	g_135
g_3878	g_135
g_2840	g_135
g_1858	g_135
g_7002	g_135
g_8975	g_135
g_5996	g_135
g_7554	g_136
g_4007	g_136
g_9927	g_136
g_8401	g_136
g_7277	g_136
g_3453	g_137
g_1396	g_137
g_5723	g_137
g_8321	g_138
g_3333	g_138
g_8660	g_138
g_7469	g_139
g_7376	g_139
g_2001	g_139
g_2560	g_139
g_505	g_139
g_6071	g_139
g_9088	g_139
g_7636	g_139
g_4950	g_139
g_8133	g_139
g_5973	g_139
g_974	g_140
g_3937	g_140
g_9907	g_140
g_2721	g_140
g_1073	g_140
g_4473	g_140
g_578	g_140
g_9731	g_140
g_5852	g_141
g_8032	g_141
g_2599	g_141
g_3616	g_142
g_8661	g_143
g_3734	g_143
g_9164	g_143
g_1232	g_143
g_6623	g_143
g_7200	g_144
g_4462	g_144
g_5499	g_144
g_6684	g_144
g_2280	g_144
g_5172	g_144
g_3170	g_144
g_5586	g_144
g_9275	g_145
g_2960	g_146
g_4364	g_146
g_3900	g_146
g_1670	g_146
g_8542	g_146
g_6992	g_147
g_7191	g_148
g_3702	g_148
g_230	g_148
g_9716	g_148
g_5471	g_148
g_2102	g_148
g_8170	g_149
g_8057	g_149
g_386	g_150
g_6745	g_150
g_1960	g_150
g_2946	g_151
g_2888	g_151
g_3823	g_151
g_5396	g_152
g_6199	g_152
g_5937	g_153
g_8804	g_153
g_5057	g_153
g_8630	g_153
g_2950	g_153
g_5037	g_153
g_5566	g_153
g_734	g_153
g_1027	g_153
g_5855	g_153
g_2453	g_153
g_4626	g_154
g_741	g_154
g_6213	g_155
g_9883	g_155
g_2995	g_156
g_6096	g_156
g_3517	g_156
g_8391	g_156
g_7857	g_156
g_8642	g_156
g_5660	g_157
g_8494	g_157
g_3265	g_157
g_7848	g_157
g_3937	g_157
g_1660	g_158
g_4079	g_158
g_920	g_158
g_3965	g_158
g_6343	g_160
g_2135	g_160
g_9754	g_160
g_2060	g_160
g_6099	g_160
g_8207	g_161
g_4069	g_161
g_6374	g_161
g_188	g_161
g_2377	g_161
g_5648	g_161
g_7603	g_161
g_9323	g_161
g_7181	g_161
g_7616	g_162
g_293	g_162
g_2365	g_162
g_1781	g_162
g_1966	g_162
g_8364	g_162
g_6364	g_162
g_5322	g_163
g_8645	g_163
g_5668	g_163
g_3176	g_163
g_4820	g_164
g_45	g_164
g_9018	g_164
g_2907	g_164
g_3389	g_164
g_3804	g_164
g_9046	g_164
g_3036	g_164
g_4677	g_164
g_5125	g_164
g_2948	g_165
g_3967	g_165
g_2242	g_165
g_5940	g_166
g_3053	g_166
g_2979	g_166
g_6183	g_166
g_3679	g_166
g_3941	g_167
g_7507	g_167
g_6595	g_167
g_3072	g_167
g_704	g_167
g_4951	g_168
g_125	g_168
g_7825	g_168
g_8869	g_168
g_7277	g_169
g_7862	g_169
g_2770	g_169
g_9627	g_169
g_504	g_169
g_564	g_169
g_385	g_169
g_4825	g_169
g_3775	g_169
g_3202	g_169
g_8202	g_170
g_6487	g_170
g_6227	g_170
g_6647	g_170
g_8110	g_170
g_3247	g_170
g_3885	g_170
g_3515	g_170
g_195	g_170
g_6440	g_170
g_1531	g_170
g_6170	g_171
g_2021	g_171
g_779	g_171
g_5297	g_171
g_2423	g_172
g_9718	g_172
g_1294	g_172
g_5029	g_172
g_1397	g_173
g_6711	g_173
g_6402	g_173
g_5858	g_173
g_2758	g_173
g_969	g_173
g_6850	g_173
g_9602	g_173
g_3360	g_174
g_2596	g_174
g_5162	g_174
g_7981	g_175
g_2870	g_175
g_8470	g_176
g_7626	g_177
g_2059	g_177
g_7159	g_177
g_542	g_177
g_8383	g_177
g_3003	g_177
g_6613	g_177
g_1223	g_178
g_8626	g_178
g_9081	g_178
g_2985	g_178
g_3241	g_178
g_769	g_179
g_3899	g_180
g_8354	g_180
g_6804	g_180
g_5106	g_180
g_782	g_180
g_9573	g_180
g_8403	g_180
g_216	g_180
g_97	g_180
g_2632	g_180
g_3634	g_180
g_3113	g_180
g_3209	g_181
g_5449	g_181
g_5601	g_181
g_3406	g_182
g_1935	g_182
g_5307	g_182
g_8210	g_183
g_8060	g_183
g_4382	g_183
g_3376	g_183
g_3908	g_183
g_1076	g_183
g_7505	g_183
g_4596	g_183
g_3478	g_183
g_7188	g_183
g_1703	g_183
g_2487	g_184
g_398	g_184
g_7470	g_184
g_4008	g_184
g_7733	g_185
g_6010	g_185
g_1567	g_186
g_3828	g_186
g_7948	g_186
g_1500	g_186
g_2506	g_186
g_6652	g_186
g_9701	g_186
g_5981	g_186
g_9347	g_186
g_5162	g_186
g_380	g_187
g_2633	g_187
g_882	g_187
g_4415	g_187
g_5817	g_187
g_8717	g_187
g_1546	g_188
g_8199	g_188
g_8851	g_189
g_5426	g_189
g_8759	g_189
g_4251	g_189
g_8717	g_189
g_5882	g_189
g_3421	g_189
g_6003	g_189
g_8615	g_189
g_8770	g_189
g_611	g_190
g_3362	g_190
g_603	g_190
g_4228	g_190
g_5036	g_190
g_7498	g_190
g_1093	g_190
g_4112	g_190
g_9147	g_190
g_4029	g_190
g_7293	g_191
g_3440	g_191
g_5601	g_191
g_4449	g_191
g_1994	g_192
g_6195	g_192
g_527	g_192
g_6392	g_192
g_6357	g_192
g_7622	g_193
g_7702	g_193
g_8167	g_193
g_617	g_193
g_2505	g_194
g_7730	g_194
g_7089	g_194
g_4355	g_194
g_3982	g_194
g_2360	g_194
g_6814	g_194
g_9402	g_194
g_1403	g_194
g_1518	g_195
g_1327	g_196
g_935	g_196
g_2818	g_196
g_3168	g_196
g_8401	g_196
g_3365	g_196
g_2995	g_196
g_3933	g_196
g_4098	g_196
g_6734	g_196
g_1441	g_196
g_2457	g_196
g_9796	g_196
g_8089	g_197
g_9311	g_197
g_5914	g_197
g_8490	g_197
g_2220	g_197
g_4325	g_197
g_4713	g_198
g_383	g_198
g_2306	g_198
g_3748	g_198
g_6785	g_199
g_7581	g_199
g_3293	g_199
g_3051	g_199
g_7311	g_199
g_7774	g_199
g_7795	g_199
g_3332	g_199
g_8152	g_199
g_9757	g_199
g_5281	g_200
g_4950	g_200
g_9529	g_201
g_7914	g_201
g_7786	g_201
g_4879	g_201
g_2573	g_201
g_8229	g_201
g_2560	g_201
g_5483	g_202
g_1371	g_202
g_8902	g_202
g_5057	g_202
g_4490	g_202
g_2181	g_203
g_9844	g_203
g_9048	g_203
g_9547	g_203
g_7373	g_204
g_7650	g_204
g_9597	g_204
g_3160	g_204
g_3627	g_204
g_2814	g_204
g_7213	g_204
g_4607	g_205
g_4588	g_205
g_3974	g_205
g_3290	g_205
g_6578	g_205
g_2491	g_205
g_2817	g_205
g_9759	g_205
g_4435	g_205
g_7843	g_205
g_6855	g_205
g_3304	g_206
g_9725	g_206
g_6234	g_206
g_1797	g_206
g_5262	g_206
g_6564	g_206
g_4672	g_206
g_1461	g_206
g_2444	g_206
g_2953	g_206
g_436	g_206
g_9130	g_207
g_6207	g_207
g_8263	g_208
g_6558	g_208
g_9570	g_208
g_7419	g_208
g_336	g_208
g_4933	g_208
g_3265	g_209
g_7893	g_209
g_4816	g_209
g_369	g_210
g_8975	g_210
g_1624	g_210
g_8326	g_210
g_8977	g_210
g_6943	g_210
g_3098	g_210
g_7221	g_210
g_7334	g_210
g_9296	g_210
g_2363	g_210
g_1100	g_211
g_9160	g_211
g_3789	g_212
g_8598	g_212
g_9376	g_212
g_9661	g_212
g_2524	g_212
g_618	g_213
g_7200	g_213
g_5495	g_213
g_174	g_213
g_8917	g_213
g_249	g_213
g_2817	g_213
g_6391	g_213
g_2534	g_213
g_3304	g_214
g_3117	g_214
g_278	g_214
g_4909	g_214
g_5744	g_214
g_5614	g_214
g_6958	g_214
g_3311	g_214
g_7229	g_214
g_4146	g_214
g_5364	g_215
g_2721	g_215
g_6015	g_215
g_3020	g_215
g_6312	g_215
g_4743	g_215
g_2962	g_215
g_2431	g_215
g_5714	g_216
g_6598	g_216
g_4872	g_216
g_7635	g_216
g_1698	g_216
g_2055	g_216
g_7687	g_217
g_7390	g_217
g_3086	g_217
g_4101	g_217
g_9025	g_217
g_9103	g_217
g_216	g_217
g_6661	g_217
g_9875	g_217
g_2718	g_217
g_3898	g_219
g_1090	g_219
g_1602	g_219
g_1143	g_219
g_4344	g_219
g_2764	g_219
g_3848	g_219
g_8481	g_219
g_9158	g_220
g_8142	g_220
g_6207	g_220
g_9475	g_221
g_5932	g_221
g_9153	g_221
g_6926	g_221
g_1111	g_221
g_237	g_221
g_3415	g_222
g_3684	g_222
g_9195	g_222
g_2308	g_222
g_8333	g_222
g_8624	g_222
g_260	g_223
g_29	g_224
g_4420	g_224
g_4673	g_224
g_6921	g_224
g_2296	g_224
g_7346	g_224
g_2729	g_224
g_9526	g_224
g_3940	g_224
g_5071	g_225
g_9370	g_226
g_584	g_226
g_5042	g_226
g_1285	g_226
g_6556	g_226
g_4795	g_227
g_6991	g_227
g_5334	g_227
g_9019	g_227
g_2180	g_227
g_8700	g_228
g_9741	g_228
g_9479	g_228
g_7766	g_229
g_9983	g_229
g_5430	g_229
g_7272	g_229
g_429	g_230
g_8985	g_230
g_1965	g_230
g_4501	g_231
g_9315	g_231
g_1447	g_231
g_6413	g_231
g_755	g_231
g_8833	g_231
g_4841	g_231
g_312	g_231
g_3191	g_231
g_1983	g_232
g_7448	g_232
g_5784	g_232
g_6160	g_233
g_2842	g_233
g_9350	g_233
g_8492	g_233
g_2019	g_233
g_6693	g_233
g_3998	g_233
g_7986	g_233
g_8154	g_233
g_4327	g_233
g_3324	g_233
g_475	g_233
g_1591	g_233
g_3999	g_234
g_5905	g_234
g_564	g_234
g_2202	g_234
g_494	g_235
g_6510	g_235
g_4929	g_235
g_8510	g_235
g_1609	g_235
g_679	g_235
g_2735	g_235
g_1372	g_235
g_8498	g_235
g_2216	g_236
g_4094	g_236
g_1890	g_236
g_9393	g_236
g_2732	g_236
g_1750	g_236
g_1285	g_236
g_2019	g_236
g_505	g_237
g_3108	g_237
g_7203	g_237
g_646	g_237
g_9759	g_238
g_5574	g_238
g_5858	g_238
g_8286	g_239
g_7881	g_239
g_5204	g_239
g_4140	g_239
g_6358	g_239
g_4861	g_239
g_5717	g_239
g_3526	g_239
g_1157	g_239
g_3263	g_239
g_9338	g_239
g_6706	g_239
g_5344	g_240
g_8967	g_240
g_450	g_240
g_3742	g_240
g_9102	g_240
g_2664	g_240
g_2404	g_240
g_3885	g_240
g_4472	g_240
g_2932	g_240
g_203	g_240
g_4025	g_240
g_6347	g_241
g_9364	g_241
g_3187	g_241
g_7908	g_241
g_1799	g_241
g_5239	g_242
g_1225	g_242
g_5742	g_242
g_1952	g_242
g_8292	g_242
g_884	g_242
g_1415	g_242
g_8147	g_242
g_6950	g_243
g_576	g_243
g_9734	g_244
g_1161	g_244
g_2677	g_244
g_8415	g_244
g_1541	g_244
g_9528	g_244
g_527	g_244
g_8873	g_244
g_9110	g_244
g_6668	g_244
g_2293	g_245
g_9089	g_245
g_3029	g_245
g_5858	g_245
g_891	g_245
g_6551	g_246
g_8777	g_246
g_4431	g_246
g_2349	g_247
g_485	g_247
g_5895	g_247
g_5569	g_247
g_3542	g_249
g_7296	g_249
g_3885	g_249
g_2786	g_249
g_7910	g_249
g_133	g_249
g_4613	g_249
g_2480	g_249
g_4002	g_250
g_5874	g_250
g_5858	g_250
g_1266	g_251
g_4654	g_251
g_2052	g_251
g_59	g_251
g_4673	g_251
g_8128	g_251
g_6896	g_251
g_3333	g_251
g_361	g_252
g_9744	g_252
g_9118	g_252
g_505	g_252
g_631	g_252
g_2307	g_252
g_5496	g_252
g_8024	g_253
g_8973	g_253
g_3496	g_253
g_1217	g_253
g_1323	g_253
g_1167	g_253
g_2010	g_253
g_6462	g_253
g_6530	g_253
g_2821	g_253
g_216	g_254
g_6638	g_254
g_5781	g_254
g_2092	g_254
g_6421	g_254
g_3463	g_254
g_3191	g_255
g_2113	g_255
g_489	g_255
g_5149	g_255
g_7724	g_255
g_1263	g_255
g_8997	g_256
g_4959	g_256
g_2621	g_256
g_3916	g_256
g_8316	g_256
g_5228	g_256
g_9696	g_256
g_6341	g_256
g_8683	g_256
g_5005	g_256
g_9885	g_256
g_60	g_257
g_3549	g_257
g_5999	g_257
g_9844	g_257
g_7255	g_257
g_5631	g_257
g_6960	g_258
g_9367	g_258
g_2870	g_258
g_8108	g_258
g_3438	g_258
g_1239	g_258
g_6086	g_258
g_4525	g_259
g_8422	g_259
g_8610	g_259
g_1465	g_259
g_1546	g_260
g_5379	g_260
g_8584	g_260
g_2715	g_261
g_5656	g_261
g_4180	g_261
g_6439	g_261
g_655	g_261
g_789	g_261
g_2239	g_261
g_7689	g_261
g_5668	g_261
g_3300	g_262
g_848	g_262
g_4197	g_262
g_2781	g_262
g_7335	g_263
g_1632	g_264
g_3281	g_264
g_5822	g_265
g_5281	g_265
g_5144	g_265
g_2636	g_265
g_3285	g_265
g_2930	g_265
g_6844	g_265
g_1741	g_265
g_8116	g_265
g_877	g_265
g_7318	g_265
g_5579	g_266
g_1896	g_266
g_9392	g_266
g_6654	g_266
g_7475	g_266
g_3577	g_266
g_797	g_267
g_6822	g_267
g_3208	g_267
g_8122	g_267
g_5989	g_267
g_1403	g_267
g_7609	g_267
g_6083	g_267
g_6502	g_268
g_9366	g_268
g_5954	g_268
g_4306	g_268
g_6307	g_268
g_684	g_268
g_7596	g_268
g_1486	g_269
g_1904	g_269
g_9632	g_270
g_406	g_270
g_8273	g_270
g_890	g_270
g_4076	g_270
g_7330	g_270
g_7250	g_270
g_2388	g_270
g_2493	g_270
g_5024	g_270
g_485	g_270
g_2208	g_270
g_1497	g_270
g_1311	g_270
g_9195	g_270
g_858	g_271
g_4714	g_271
g_7682	g_271
g_4532	g_271
g_7522	g_272
g_9215	g_273
g_4750	g_273
g_3286	g_273
g_1803	g_273
g_3506	g_273
g_7723	g_273
g_6086	g_273
g_7354	g_273
g_2492	g_273
g_8738	g_273
g_2365	g_274
g_7445	g_274
g_3028	g_274
g_4413	g_275
g_6039	g_275
g_4636	g_275
g_6628	g_275
g_7248	g_275
g_1892	g_275
g_2692	g_275
g_689	g_275
g_5661	g_275
g_425	g_275
g_129	g_275
g_9611	g_276
g_8826	g_276
g_4977	g_276
g_9362	g_276
g_3707	g_276
g_5665	g_276
g_5643	g_277
g_7631	g_277
g_8110	g_277
g_5714	g_277
g_3883	g_277
g_6356	g_278
g_9457	g_278
g_8846	g_278
g_8427	g_278
g_6873	g_278
g_8821	g_278
g_8761	g_278
g_2539	g_278
g_6621	g_279
g_1607	g_279
g_7516	g_279
g_4617	g_279
g_1726	g_279
g_5318	g_279
g_4935	g_279
g_7644	g_280
g_4281	g_280
g_6309	g_281
g_2585	g_281
g_5247	g_281
